% Daily closing prices of the AMD stock 
%       from 2/19/13 to 2/19/18
%
%   Normalized        Closing 
%      Time          Price ($)               
%
%      (x)              (y)
%
   0.0000000e+00   2.8200000e+00
   7.9428118e-04   2.7000000e+00
   1.5885624e-03   2.6000000e+00
   2.3828435e-03   2.6100000e+00
   3.1771247e-03   2.5300000e+00
   3.9714059e-03   2.4600000e+00
   4.7656871e-03   2.5300000e+00
   5.5599682e-03   2.4900000e+00
   6.3542494e-03   2.4200000e+00
   7.1485306e-03   2.4000000e+00
   7.9428118e-03   2.4300000e+00
   8.7370929e-03   2.4300000e+00
   9.5313741e-03   2.5500000e+00
   1.0325655e-02   2.5600000e+00
   1.1119936e-02   2.5900000e+00
   1.1914218e-02   2.6100000e+00
   1.2708499e-02   2.6000000e+00
   1.3502780e-02   2.6300000e+00
   1.4297061e-02   2.6000000e+00
   1.5091342e-02   2.6500000e+00
   1.5885624e-02   2.6700000e+00
   1.6679905e-02   2.7500000e+00
   1.7474186e-02   2.6400000e+00
   1.8268467e-02   2.5400000e+00
   1.9062748e-02   2.5100000e+00
   1.9857029e-02   2.5400000e+00
   2.0651311e-02   2.5500000e+00
   2.1445592e-02   2.5500000e+00
   2.2239873e-02   2.4400000e+00
   2.3034154e-02   2.3900000e+00
   2.3828435e-02   2.3200000e+00
   2.4622716e-02   2.3300000e+00
   2.5416998e-02   2.2900000e+00
   2.6211279e-02   2.5900000e+00
   2.7005560e-02   2.6300000e+00
   2.7799841e-02   2.6100000e+00
   2.8594122e-02   2.5200000e+00
   2.9388403e-02   2.4800000e+00
   3.0182685e-02   2.4000000e+00
   3.0976966e-02   2.4400000e+00
   3.1771247e-02   2.4000000e+00
   3.2565528e-02   2.5100000e+00
   3.3359809e-02   2.4700000e+00
   3.4154091e-02   2.4600000e+00
   3.4948372e-02   2.5300000e+00
   3.5742653e-02   2.6100000e+00
   3.6536934e-02   2.6800000e+00
   3.7331215e-02   2.6400000e+00
   3.8125496e-02   2.6800000e+00
   3.8919778e-02   2.8200000e+00
   3.9714059e-02   3.2200000e+00
   4.0508340e-02   3.4100000e+00
   4.1302621e-02   3.6000000e+00
   4.2096902e-02   3.6100000e+00
   4.2891183e-02   3.5400000e+00
   4.3685465e-02   3.8300000e+00
   4.4479746e-02   3.8600000e+00
   4.5274027e-02   3.9500000e+00
   4.6068308e-02   4.1700000e+00
   4.6862589e-02   4.2600000e+00
   4.7656871e-02   4.3800000e+00
   4.8451152e-02   3.8300000e+00
   4.9245433e-02   4.0700000e+00
   5.0039714e-02   4.1000000e+00
   5.0833995e-02   4.0200000e+00
   5.1628276e-02   3.9600000e+00
   5.2422558e-02   4.0100000e+00
   5.3216839e-02   4.0500000e+00
   5.4011120e-02   4.0500000e+00
   5.4805401e-02   3.9800000e+00
   5.5599682e-02   4.0400000e+00
   5.6393963e-02   4.0000000e+00
   5.7188245e-02   3.9600000e+00
   5.7982526e-02   4.0100000e+00
   5.8776807e-02   3.9100000e+00
   5.9571088e-02   3.9400000e+00
   6.0365369e-02   3.9100000e+00
   6.1159651e-02   4.0600000e+00
   6.1953932e-02   3.9600000e+00
   6.2748213e-02   3.9000000e+00
   6.3542494e-02   3.9500000e+00
   6.4336775e-02   3.9400000e+00
   6.5131056e-02   4.0500000e+00
   6.5925338e-02   4.0900000e+00
   6.6719619e-02   4.0700000e+00
   6.7513900e-02   3.8700000e+00
   6.8308181e-02   4.0000000e+00
   6.9102462e-02   4.0500000e+00
   6.9896743e-02   4.1500000e+00
   7.0691025e-02   4.1400000e+00
   7.1485306e-02   4.0800000e+00
   7.2279587e-02   4.0800000e+00
   7.3073868e-02   4.1000000e+00
   7.3868149e-02   3.9700000e+00
   7.4662431e-02   4.0600000e+00
   7.5456712e-02   4.0700000e+00
   7.6250993e-02   4.0000000e+00
   7.7045274e-02   4.0500000e+00
   7.7839555e-02   3.9800000e+00
   7.8633836e-02   4.4500000e+00
   7.9428118e-02   4.3200000e+00
   8.0222399e-02   4.4000000e+00
   8.1016680e-02   4.4300000e+00
   8.1810961e-02   4.3800000e+00
   8.2605242e-02   4.6400000e+00
   8.3399523e-02   4.0300000e+00
   8.4193805e-02   3.9000000e+00
   8.4988086e-02   3.6600000e+00
   8.5782367e-02   3.6300000e+00
   8.6576648e-02   3.7000000e+00
   8.7370929e-02   3.8200000e+00
   8.8165210e-02   3.7500000e+00
   8.8959492e-02   3.8200000e+00
   8.9753773e-02   3.7700000e+00
   9.0548054e-02   3.8100000e+00
   9.1342335e-02   3.8000000e+00
   9.2136616e-02   3.8200000e+00
   9.2930898e-02   3.7200000e+00
   9.3725179e-02   3.6900000e+00
   9.4519460e-02   3.7100000e+00
   9.5313741e-02   3.6500000e+00
   9.6108022e-02   3.6500000e+00
   9.6902303e-02   3.6900000e+00
   9.7696585e-02   3.8200000e+00
